-- Anomaly Detection based on One Class Support Vector Machines --
Obs:  0 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK        
Obs: 255 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 256 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 257 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 258 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 259 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 260 (YouTube ): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 261 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 262 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 263 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 264 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 265 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 266 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 267 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 268 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 269 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 270 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 271 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 272 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 273 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 274 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 275 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 276 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 277 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 278 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 279 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 280 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 281 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 282 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 283 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 284 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 285 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 286 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 287 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 288 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 289 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 290 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 291 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 292 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 293 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly   
Obs: 294 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 295 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 296 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 297 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 298 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 299 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 300 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 301 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 302 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 303 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 304 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 305 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 306 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 307 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 308 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 309 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 310 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 311 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 312 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 313 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 314 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 315 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 316 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 317 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 318 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 319 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 320 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 321 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 322 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 323 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 324 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 325 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 326 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 327 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 328 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 329 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 330 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 331 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 332 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 333 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 334 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 335 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 336 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 337 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 338 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 339 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 340 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 341 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 342 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 343 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 344 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 345 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 346 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 347 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 348 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 349 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 350 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 351 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 352 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 353 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 354 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 355 (YouTube ): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 356 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly   
Obs: 357 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 358 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 359 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 360 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 361 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 362 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 363 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 364 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 365 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 366 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 367 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 368 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 369 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 370 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 371 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 372 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 373 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 374 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 375 (Browsing): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 376 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 377 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 378 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 379 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 380 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 381 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 382 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 383 (Browsing): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 384 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 385 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 386 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 387 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 388 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 389 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 390 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 391 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 392 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 393 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 394 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 395 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 396 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 397 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 398 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 399 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 400 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 401 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 402 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 403 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 404 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 405 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 406 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 407 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 408 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 409 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 410 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 411 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 412 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 413 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 414 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 415 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 416 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 417 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly   
Obs: 418 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 419 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 420 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 421 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 422 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 423 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 424 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 425 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 426 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 427 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 428 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 429 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 430 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 431 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 432 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 433 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 434 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 435 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 436 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 437 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 438 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 439 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 440 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 441 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 442 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 443 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 444 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 445 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 446 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 447 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 448 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 449 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 450 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 451 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 452 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 453 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 454 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 455 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 456 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 457 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 458 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 459 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 460 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 461 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 462 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 463 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 464 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 465 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 466 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 467 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 468 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 469 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 470 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 471 (Browsing): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 472 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 473 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 474 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 475 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 476 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 477 (Browsing): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 478 (Browsing): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 479 (Browsing): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 480 (Browsing): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 481 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 482 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 483 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 484 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 485 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 486 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 487 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 488 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 489 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 490 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 491 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 492 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 493 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 494 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 495 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 496 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 497 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 498 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 499 (Browsing): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 500 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 501 (Browsing): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 502 (Browsing): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 503 (Browsing): Kernel Linear->OK         | Kernel RBF->OK         | Kernel Poly->OK
Obs: 504 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 505 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 506 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
